整理,#genre#
本港臺,http://dlhls.cdn.zhanqi.tv/zqlive/123407_XhQs9.m3u8
台湾民视新闻,http://210.61.56.23/hls/ftvtv/index.m3u8
台湾全美台,http://dcunilive30-lh.akamaihd.net/i/dclive_1@535522/master.m3u8
RB台湾壹新闻,http://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv1/master.m3u8
台湾壹电视新闻,http://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv1/chunklist.m3u8
台湾超视,http://live.italkdd.com/cds160/hls/channel018/channel018_2000.m3u8
GOOD-1综合台,http://live.streamingfast.net/osmflivech1.m3u8
台湾GOOD-2生活台,http://live.streamingfast.net/osmflivech12.m3u8
台湾GOOD-3真情部落格,http://live.streamingfast.net/osmflivech3.m3u8
台湾GOOD-5共享观点,http://live.streamingfast.net/osmflivech5.m3u8
台湾GOOD-9爱+好医生,http://live.streamingfast.net/osmflivech9.m3u8
台湾GOOD-14美食旅游台,http://live.streamingfast.net/osmflivech14.m3u8
台湾GOOD-13健康新煮流,http://live.streamingfast.net/osmflivech13.m3u8
台湾GOOD-40卡通,http://live.streamingfast.net/osmflivech40.m3u8
台湾TVBS新闻台HD,http://60.199.188.61/HLS/WG_TVBS-N/index.m3u8
天空新聞,http://skydvn-nowtv-atv-prod.skydvn.com/atv/skynews/1404/live/06.m3u8
BasTV4K影院,http://117.148.187.83/PLTV/88888888/224/3221226718/index.m3u8
新加坡亞洲新聞臺,http://drsh196ivjwe8.cloudfront.net/hls/cnai/03.m3u8
信天遊,http://hc.yinyuetai.com/F8190136EA197DA6F00D511F5F2B2840.flv
環球電影,http://live-cdn.xzxwhcb.com/hls/sn88wrar.m3u8
星空衛視備,http://222.207.48.30/hls/startv.m3u8
博斯魅力,http://ms003.happytv.com.tw/live/OcScNdWHvBx5P4w3/index.m3u8
BabyFirst亲子台,http://ms003.happytv.com.tw/live/F9YMztT5DcwWEr1f/index.m3u8
台靖天卡通HD,http://61.58.60.230:9319/live/207.m3u8
台靖天国际HD,http://61.58.60.230:9319/live/205.m3u8
台靖天娱乐HD,http://61.58.60.230:9319/live/204.m3u8
台靖天日本HD,http://61.58.60.230:9319/live/243.m3u8
台靖天映画HD,http://61.58.60.230:9319/live/244.m3u8
台靖天欢乐HD,http://61.58.60.230:9319/live/201.m3u8
台靖天资讯HD,http://61.58.60.230:9319/live/202.m3u8
台靖洋卡通HD,http://61.58.60.230:9319/live/206.m3u8
台靖洋戏剧HD,http://61.58.60.230:9319/live/203.m3u8
TVBS新聞,https://lss.line-scdn.net/cc_tw/p/live/h6DmIOYOPaGoBXXZ6OEh1XWsyN1h4VH47PlYhD3YwNw8tCH05bQEmCHRnNQh7CXk6aVYuX30wNlx0RS9ub1QlWHE0KVt8Hy4-ZUkmD30vMFN2AC88ZVY/720/chunklist.m3u8
東森新聞,https://lss.line-scdn.net/cc_tw/p/live/h7O49zdyZaWFbLXdxYTh0VjIQPlV2dy82YiYgAyRANgR0eHwyNHF0AisQYVYgIiY2MSYvVH5EMVAjNS5lNiQjA39EKFAlby81PDknBCRfNlImey83NC8n/720/chunklist.m3u8
民視,https://lss.line-scdn.net/cc_tw/p/live/hG4Q1DBiQGRo8JQcKBDAELVccTnlFfghKBS5QfxlIRn8RcAxJUX1XLU1JTigWLA0YVC5fKEhOTiJBPV4eUyxVLh5OWCtAZ19OWTFXf0FXQiBBeV5EUA/720/chunklist.m3u8
豬哥亮歌廳秀,https://lss.line-scdn.net/cc_tw/p/live/hxzRYp8oYJlQ_TThEB1g7Y1RycGNCRWZUB0ZsZk0geTESGGkEBBFoZB8kKWFAR2JWBEZgZkspfmNKVWFQUEVgMR0oZ2VDD2AAWlloNks_cG5CEWEKUw/720/chunklist.m3u8
中天綜合,https://lss.line-scdn.net/cc_tw/p/live/h8PLbIgZmZn4gdnhuGWN7SUoYahsILiApRX0vGwQbORsMIyR-GSkoTQMca0YMI3QvSn0gTFQZPEZcbiF6Tn8qSQcSJ09dNCAqRGIoG1wEPklXKyEoRH0/720/chunklist.m3u8
Warner TV,https://lss.line-scdn.net/cc_tw/p/live/hBdZCXgMgHEo2VwJaD0IBfVw9FnxNX1JPCFxVKEU6Qy8aAl5KDwhQf0IyQSxLWglOU1xafxA8QnoPCwkeWVkFKEskQ3pVClkURFxQJV05QnhBClscUlw/720/chunklist.m3u8
華視,https://lss.line-scdn.net/cc_tw/p/live/hCYZt86U1HXc1YANnD3UAQFxfERIZOVx1C2tUEhUNQhIaNV93D2lXERVdRUUaNVIkU2tbQhYLSkVCeFpzWGlWFUEEXEZLIlsjUnRTEkoSQUdJNlshWmJT/720/chunklist.m3u8
靖天電影,https://lss.line-scdn.net/cc_tw/p/live/hqijq83wDL0cFZTFXP3AycGxddSYuO28TPG5mI3QIcCIqMGAXPGxhJ3NdcXF5OGgSa25pciEKeHR9fWhDaGxhcyUKbnZ7J2kTYnFhInsXcHR_M2kRamdh/720/chunklist.m3u8
